hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12,value,volume,share_val,share_weight
301111000,"Live freshwater ornamental fish, fry","273,794","4,247","309,116","5,383","263,628","4,060","434,843","4,207","262,996","3,904","276,146","4,078","279,010","3,916","289,400","4,249","276,360","2,902","299,340","5,035","306,743","4,185","316,493","4,863","3,587,869","51,029",0.12,0.01
301119100,Koi carp (Cyprinus carpio),"5,724",56,"5,210",33,"2,592",46,"1,466",8,561,10,"2,911",353,966,12,"1,150",19,"1,196",14,"1,235",112,809,11,832,2,"24,652",676,0,0
301119300,Siamese fighting fish (Beta splendens),"1,150",79,"2,265",121,"1,823",95,"1,731",129,"1,912",191,"1,201",90,"3,458",189,"4,114",307,"2,040",280,888,72,"4,035",241,828,63,"25,445","1,857",0,0
301119400,Oscars (Astonotus ocellatus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,85,0,0,123,42,0,0,186,127,0,0
301119510,Red arowanes,"180,896","1,614","201,396","2,084","479,222","3,098","275,280","3,775","369,051","4,729","408,775","3,981","339,205","3,767","476,001","3,928","440,298","3,963","381,287","3,471","466,383","5,347","342,835","4,088","4,360,629","43,845",0.15,0.01
301119590,"Arowanes, than not red","72,681","1,401","75,446","1,096","202,135","2,734","149,525","1,770","140,455","1,746","136,908","1,583","92,921","1,519","146,707","2,076","120,731","1,315","171,460","1,633","111,280","1,479","165,703","1,303","1,585,952","19,655",0.05,0
301119910,Botia (Botia macracantha),"44,671","3,124","40,966","2,987","39,917","4,705","31,800","2,731","31,041","2,038","37,886","2,688","32,599","3,092","45,605","2,237","33,118","2,503","36,003","2,594","44,355","2,787","46,671","2,162","464,632","33,648",0.02,0
301119920,Discus (Symphisodon discus),"5,419","6,751","4,523","5,477","2,850","6,537","4,572","6,222","2,437","4,181","7,457","5,428","7,302","3,485","6,738","4,701","5,365","5,082","5,607","4,230","7,422","5,617","5,491","2,865","65,183","60,576",0,0.01
301119990,"Other freshwater ornamental fish, live","586,897","35,716","582,418","38,061","631,200","38,094","579,694","46,537","547,136","41,799","510,022","41,022","428,348","35,646","575,335","44,666","620,288","46,517","628,099","49,399","568,696","47,949","587,029","44,177","6,845,162","509,583",0.24,0.07
301191000,"Live marine ornamental fish, fry",0,0,0,0,518,"2,020",726,"1,879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,244","3,899",0,0
301199000,"Live marine ornamental fish,","553,076","82,441","541,803","80,175","714,566","107,734","738,173","70,007","698,755","63,442","542,923","71,367","446,270","52,197","626,810","64,361","584,788","61,207","655,920","68,445","871,752","75,963","705,676","75,050","7,680,512","872,389",0.26,0.13
301910000,"Live Trout (Salmo trutta,Oncorhynchus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,46,5,0,0
301920000,Live eels (Anguilla spp.),"1,042,698","521,495","1,399,589","706,709","1,207,245","558,855","872,111","436,841","580,761","266,626","400,336","170,285","109,349","35,335","66,448","19,498","31,851","15,698","339,917","117,040","634,450","254,288","1,111,942","490,245","7,796,697","3,592,915",0.27,0.52
301939000,"Live carp, other than breeding","12,276","1,992","10,259","4,437",824,200,"3,441",435,"4,725","1,087","8,584","1,387","9,727","1,194","8,487","1,083","7,795","1,462","6,832","1,200","8,147","1,457","10,171","1,829","91,268","17,763",0,0
301991100,"Live fry milkfish or lapu-lapu, breeding","108,621","7,262","226,189","3,722","719,908","26,709","734,948","24,161","804,172","29,539","357,684","25,176","164,866","12,041","101,732","8,138","82,537","5,552","91,160","10,870","140,886","14,882","101,614","15,469","3,634,317","183,521",0.13,0.03
301991900,"Live fry milkfish or lapu-lapu,","38,063","25,109","228,657","139,995","267,532","1,486","116,479","18,741","110,842","18,756","79,109","16,413","5,383",84,"4,923",38,"3,180",338,"165,323","17,103","23,110","1,065","109,080","15,088","1,151,681","254,216",0.04,0.04
301992100,"Other live fry fish, for breeding",0,0,"1,110",29,738,48,0,0,0,0,750,75,0,0,0,0,0,0,0,0,0,0,0,0,"2,598",152,0,0
301992900,"Other live fry fish, for other than",0,0,101,60,0,0,32,108,0,0,0,0,0,0,0,0,541,150,"2,145",850,"2,051",420,"2,472","7,085","7,342","8,673",0,0
