hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12
301111000,"Live freshwater ornamental fish, fry","5,925",102,"6,438",405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301119100,Koi carp (Cyprinus carpio),"30,762","2,476","27,680","1,844","82,112","4,603","71,095","4,590","42,315","3,095","19,088","1,711","6,955",549,"15,400",979,"10,673",627,"65,619","4,114","80,186","4,448","121,098","7,481"
301119200,Golden fish (Carassius auratus),"2,295",72,"1,652",82,"1,672",74,13,1,634,19,102,4,0,0,"1,133",68,890,53,"1,245",54,"1,582",52,90,2
301119300,Siamese fighting fish (Beta splendens),44,2,108,3,0,0,80,3,270,8,28,1,0,0,265,5,138,2,253,4,258,4,153,3
301119510,Red arowanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,30
301119920,Discus (Symphisodon discus),"1,071",50,"1,447",74,0,0,"1,387",99,"1,686",77,"1,548",97,0,0,"1,418",88,0,0,0,0,0,0,747,30
301119990,"Other freshwater ornamental fish, live","12,107","1,013","15,542",728,"8,288",446,"13,718",437,"19,287",970,"13,521",615,0,0,"12,345",516,"16,615",593,"15,559",862,"15,849",513,"15,308",493
301191000,"Live marine ornamental fish, fry",627,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301199000,"Live marine ornamental fish,","5,643",341,"8,988",914,"4,252",285,"5,595",678,"5,676",523,"5,836",502,"2,198",293,0,0,"2,698",390,"6,301",530,"2,291",140,0,0
301992100,"Other live fry fish, for breeding",0,0,0,0,0,0,"24,032",38,"23,060","3,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0
301992900,"Other live fry fish, for other than",0,0,0,0,"10,103",405,0,0,0,0,"6,102",102,0,0,0,0,0,0,571,49,0,0,"80,822",25
301993100,"Milkfish, breeding",0,0,0,0,0,0,0,0,"54,805","21,102",0,0,0,0,0,0,0,0,0,0,0,0,0,0
301993990,Other live marine fish,"3,912",192,"4,900",270,"1,685",80,"3,474",325,"1,783",90,"3,569",180,0,0,"3,633",180,"1,838",90,945,45,"1,342",65,"1,461",73
301994090,Other freshwater fish,0,0,0,0,825,72,0,0,"1,102",76,"1,235",98,0,0,0,0,599,30,"2,143",215,282,45,0,0
302110000,"Trout, fresh or chilled, excluding","473,108","66,047","454,250","58,536","680,558","82,766","679,558","76,234","988,672","105,237","1,116,965","119,710","621,112","64,440","879,370","99,202","785,994","91,052","809,799","85,663","897,972","88,653","1,000,203","93,550"
302130000,"Pacific salmon, excluding fillets,",0,0,0,0,0,0,"19,147","2,016","42,314","4,512","22,106","2,586",0,0,0,0,0,0,0,0,0,0,"1,068",125
302140010,"Atlantic salmon, excluding fillets,","1,015,746","125,749","904,825","115,869","1,246,344","138,220","1,293,343","133,584","1,354,551","135,493","1,499,945","145,858","991,091","92,146","1,799,743","192,930","1,920,581","222,039","1,449,336","150,653","1,782,780","178,448","1,826,123","177,922"
302190000,"Oth salmonidae fish, excluding fillet,",0,0,0,0,0,0,0,0,0,0,"3,170",133,508,21,256,9,0,0,0,0,13,1,40,3
302210000,"Halibut (Pleuronectes platessa), excl.",863,30,465,15,789,31,"1,319",48,"2,764",93,"7,724",355,342,12,909,31,852,25,"1,056",39,363,9,603,23
302240000,"Turbots (Psetta maxima), excl. fillets,",986,48,"1,278",48,164,9,605,27,846,35,719,30,132,10,379,18,841,42,945,44,"1,333",55,"1,059",45
302320000,"Yellowfin tunas,excl.fillets, livers &","96,402","9,852",0,0,0,0,0,0,"72,431","3,812",0,0,0,0,0,0,0,0,0,0,0,0,0,0
302330000,"Skipjack or stripe-bellied bonito,excl.","11,193",240,0,0,132,6,0,0,0,0,0,0,0,0,0,0,0,0,"3,102",28,"12,895",255,"9,095",162
302410000,"Herrings, excl. fillets, livers & roes,","3,084",76,"1,542",35,"1,133",27,"1,368",39,"3,610",100,"1,444",35,"1,065",22,"5,319",121,"3,138",73,"6,043",124,"4,821",107,"3,889",125
302420000,"Anchovies excl.fillets, livers and roes,",460,20,0,0,25,2,"19,412","6,408",24,2,"2,142",100,"1,259",47,48,2,221,7,"1,163",39,17,1,"143,228","14,351"
302430000,"Sardines, excl. fillets, livers & roes,","2,295",96,"1,211",40,"1,166",41,"1,313",40,763,36,"5,155",176,"2,919",119,"2,417",65,"1,174",27,"5,626",265,"4,210",184,"8,182",267
302440000,"Mackerel, excl. fillets livers & roes,","2,954",164,"4,155",215,"5,096",263,"3,794",182,"4,480",222,"4,430",214,"4,402",203,"6,345",233,"5,430",248,"5,548",258,"4,188",213,"5,237",261
302450000,"Jack and horse mackerel, excl. fillets","11,990",657,"10,086",383,"5,625",223,"10,262",374,"8,109",316,"6,059",242,"2,623",117,"11,969",419,"14,562",493,"8,231",300,"7,008",253,"9,131",326
302470000,Swordfish (xiphias gladius) excl.fillets,32,2,136,8,90,6,217,9,109,7,44,2,0,0,273,10,138,5,228,8,125,5,57,4
302550000,"Alaska Pollack excl.fillets, livers and","44,116",577,"44,233",508,"48,015",611,"48,812",577,"34,523",524,"17,080",205,"36,624",530,"62,466",812,"53,809",692,"20,251",260,0,0,0,0
302590000,"Other marine fish excl.fillets, livers","24,253",969,"18,997",688,"19,075",667,"17,371",604,"23,109",773,"26,281",856,"16,418",535,"27,987",813,"20,171",658,"21,484",600,"22,627",600,"14,662",449
302740000,"Eels, excl. fillets, livers and roes,","1,640",73,241,13,315,9,284,8,854,29,"3,793",58,0,0,"1,040",26,913,24,463,11,"9,790",267,"3,945",173
302820000,"Rays and skates, excl.fillets, livers","1,705",39,"1,320",25,826,24,"3,683",72,"1,263",55,"4,088",46,"4,901",114,"2,323",41,"7,203",79,"5,934",82,"5,789",63,"4,173",52
302840000,"Seabass excl.fillets, livers and roes,",713,27,"2,588",58,745,30,"2,485",82,"3,074",112,"2,385",63,885,38,"2,219",81,"2,758",91,"2,181",73,"3,348",115,"3,106",113
302850000,"Seabream excl.fillets, livers and roes,","5,891",228,"11,051",343,"11,612",372,"10,108",315,"8,467",284,"12,223",400,"10,944",441,"12,411",393,"12,672",482,"14,597",501,"12,096",393,"9,839",346
302891200,"Longfin majjora excl.fillets, livers and","1,667",86,"2,221",110,"2,698",133,"1,483",65,0,0,0,0,0,0,"2,080",88,"2,342",95,"1,168",50,0,0,179,9
302891400,"Savalai hairtails, etc., excl.fillets,",0,0,0,0,0,0,0,0,0,0,196,7,"2,008",53,108,3,0,0,0,0,39,1,41,1
302891800,"Mangrove red snappers, excl.fillets,",0,0,12,1,26,2,0,0,0,0,"3,057",139,"4,174",193,0,0,0,0,0,0,47,3,191,9
302891910,"Kerapu, excl.fillets, livers and roes,",0,0,0,0,"3,855","21,500",902,"6,000","2,296","16,000","5,374","32,080","2,344","14,960","2,947","18,960","2,900","20,100",749,"5,000","2,234","20,374","1,461","11,051"
302891990,"Other marine fish excl.fillets, livers","17,289",649,"21,984","2,358","12,828",491,"12,635",458,"12,285",312,"6,795",146,"4,037",81,"5,914",129,"28,197","2,333","10,026",271,"4,486",137,"31,227","4,153"
302892900,"Other fish of not marine fish, excl.","33,657","1,406","49,005","1,993","55,003","2,431","62,186","2,665","90,240","2,965","82,972","2,394","43,626","1,465","80,985","2,576","62,821","2,119","68,458","2,353","67,609","2,281","69,508","2,383"
302900000,"Livers and roes of fish, excld fillets","11,913",240,"8,558",193,"6,806",153,"5,251",113,"5,755",136,"6,516",142,"13,241",229,"11,330",251,"8,815",215,"9,728",232,"7,937",143,"13,820",291
303110000,"Sockeye salmon, excl.fillets, livers &",0,0,0,0,"105,194","21,499",55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303120000,"Oth pacific salmon, excl.fillet, liver","287,064","75,000","120,216","42,878","154,526","84,452","553,676","225,000","207,528","49,600","1,130,390","382,326",0,0,"365,526","179,440","204,058","46,720","88,813","20,185","934,347","255,919","164,824","49,000"
303130010,"Atlantic salmon, excl.fillets, livers","195,944","33,163","131,990","20,951",0,0,"422,633","79,742","638,493","95,892","105,237","12,381",0,0,"478,269","62,059","1,179,464","162,373","840,227","102,896","535,685","75,324","475,733","57,551"
303140000,"Trout, excl.fillets, livers and roes,","417,240","82,463","95,308","20,278",0,0,"103,189","19,844","137,708","20,865","264,447","41,631","298,341","44,095","147,970","20,410","303,054","40,820","457,672","61,431","153,811","20,035","1,559",60
303190000,"Other salmonidae, excl.fillets, livers",0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303330000,"Sole, excl.fillets, livers & roes,frozen",0,0,0,0,"9,731",309,0,0,0,0,0,0,0,0,"3,679",300,0,0,0,0,"5,342",99,"13,610",385
303340000,"Turbots, excl.fillets, livers & roes,",0,0,0,0,"9,648",224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,800",269,"1,132",23
303390000,"Oth flat fish, excl.fillets, livers &",0,0,0,0,0,0,"4,201",836,16,32,0,0,0,0,0,0,497,70,0,0,0,0,0,0
303410000,"Albacore/longfinned tunas,excl.fillet,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,206","19,800",0,0
303420000,"Yellowfin tunas, excl.fillet, liver &",0,0,"272,236","27,024","62,304","5,888","772,150","423,000","120,195","13,205","2,299,723","1,429,928","444,332","271,177","61,160","6,622","227,590","124,247",0,0,"1,569,029","995,646","140,315","54,075"
303430000,"Skipjack or stripe-bellied bonito, excl.","214,400","156,000",0,0,0,0,"5,145,075","3,228,000",0,0,"1,972,462","1,225,216","3,396,149","2,283,572",0,0,"56,548","27,252",0,0,"3,204,069","2,181,675","848,591","565,000"
303440000,"Bigeye tunas, excl.fillets, livers and",0,0,0,0,0,0,"80,850","49,000",0,0,"85,138","52,828","91,217","57,547",0,0,0,0,0,0,"68,038","43,920",0,0
